num =  0, N = 31, Q = 128, D = 2, queryCount = 2456, nowTime = 0.001618, haipara = 200306, score =  195851, sum =    195851
num =  1, N = 56, Q = 1120, D = 6, queryCount = 3778, nowTime = 0.004284, haipara = 200226, score =   29591, sum =    225442
num =  2, N = 94, Q = 2009, D = 5, queryCount = 4202, nowTime = 0.007697, haipara = 200226, score =    2979, sum =    228421
num =  3, N = 80, Q = 2288, D = 6, queryCount = 6917, nowTime = 0.009909, haipara = 200226, score =    6582, sum =    235003
num =  4, N = 43, Q = 435, D = 9, queryCount = 458, nowTime = 0.001796, haipara = 1079919, score =  168521, sum =    403524
num =  5, N = 42, Q = 202, D = 10, queryCount = 217, nowTime = 0.000801, haipara = 200916, score =  706639, sum =   1110163
num =  6, N = 65, Q = 346, D = 2, queryCount = 656, nowTime = 0.001427, haipara = 200256, score =   21401, sum =   1131564
num =  7, N = 79, Q = 294, D = 5, queryCount = 494, nowTime = 0.001245, haipara = 200306, score =   80012, sum =   1211576
num =  8, N = 39, Q = 197, D = 7, queryCount = 99207, nowTime = 0.035744, haipara = 200306, score = 2810245, sum =   4021821
num =  9, N = 55, Q = 885, D = 12, queryCount = 1129, nowTime = 0.001909, haipara = 1000610, score =   98925, sum =   4120746
num = 10, N = 65, Q = 1690, D = 10, queryCount = 4737, nowTime = 0.005656, haipara = 200226, score =   27119, sum =   4147865
num = 11, N = 59, Q = 340, D = 13, queryCount = 400, nowTime = 0.001842, haipara = 200256, score =  579877, sum =   4727742
num = 12, N = 77, Q = 1193, D = 13, queryCount = 2219186, nowTime = 1.30021, haipara = 1077999, score =   92988, sum =   4820730
num = 13, N = 52, Q = 954, D = 13, queryCount = 2814712, nowTime = 1.30027, haipara = 1000610, score =   58542, sum =   4879272
num = 14, N = 50, Q = 568, D = 11, queryCount = 4400600, nowTime = 1.30099, haipara = 1079919, score =  574903, sum =   5454175
num = 15, N = 44, Q = 270, D = 11, queryCount = 307, nowTime = 0.00091, haipara = 1097020, score =  332622, sum =   5786797
num = 16, N = 45, Q = 221, D = 4, queryCount = 99210, nowTime = 0.04171, haipara = 200306, score =   58155, sum =   5844952
num = 17, N = 43, Q = 97, D = 6, queryCount = 97, nowTime = 0.000581, haipara = 200316, score = 1215756, sum =   7060708
num = 18, N = 68, Q = 1028, D = 9, queryCount = 2147915, nowTime = 1.30028, haipara = 1000610, score =   38641, sum =   7099349
num = 19, N = 82, Q = 1182, D = 10, queryCount = 2602700, nowTime = 1.30019, haipara = 1078729, score =   20528, sum =   7119877
num = 20, N = 96, Q = 2071, D = 20, queryCount = 1701489, nowTime = 1.30086, haipara = 1000610, score =   59453, sum =   7179330
num = 21, N = 89, Q = 2707, D = 17, queryCount = 7418, nowTime = 0.010505, haipara = 200266, score =   19760, sum =   7199090
num = 22, N = 40, Q = 378, D = 2, queryCount = 2056, nowTime = 0.002837, haipara = 200226, score =    1151, sum =   7200241
num = 23, N = 59, Q = 1069, D = 6, queryCount = 3292, nowTime = 0.003409, haipara = 200226, score =   25125, sum =   7225366
num = 24, N = 91, Q = 1079, D = 12, queryCount = 1144, nowTime = 0.00296, haipara = 1099740, score = 1794209, sum =   9019575
num = 25, N = 99, Q = 999, D = 23, queryCount = 1132, nowTime = 0.003185, haipara = 200256, score =  834304, sum =   9853879
Assert Method226 : N = 96, Q = 1344, setCount = 1961, time = 1.30009
num = 26, N = 96, Q = 1344, D = 2, queryCount = 1063977, nowTime = 1.3006, haipara = 200226, score =    3451, sum =   9857330
num = 27, N = 43, Q = 395, D = 8, queryCount = 2516, nowTime = 0.002125, haipara = 1079919, score =   98018, sum =   9955348
num = 28, N = 80, Q = 226, D = 7, queryCount = 3244511, nowTime = 1.30006, haipara = 200916, score =  300735, sum =  10256083
