num =  0, N = 31, Q = 128, D = 2, queryCount = 2456, nowTime = 0.001424, haipara = 200306, score =  195851, sum =    195851
num =  1, N = 56, Q = 1120, D = 6, queryCount = 3778, nowTime = 0.003667, haipara = 200226, score =   29591, sum =    225442
num =  2, N = 94, Q = 2009, D = 5, queryCount = 4202, nowTime = 0.006478, haipara = 200226, score =    2979, sum =    228421
num =  3, N = 80, Q = 2288, D = 6, queryCount = 6917, nowTime = 0.007867, haipara = 200226, score =    6582, sum =    235003
num =  4, N = 43, Q = 435, D = 9, queryCount = 458, nowTime = 0.001736, haipara = 1079919, score =  168521, sum =    403524
num =  5, N = 42, Q = 202, D = 10, queryCount = 217, nowTime = 0.000691, haipara = 200916, score =  706639, sum =   1110163
num =  6, N = 65, Q = 346, D = 2, queryCount = 716, nowTime = 0.001284, haipara = 200256, score =    2701, sum =   1112864
num =  7, N = 79, Q = 294, D = 5, queryCount = 494, nowTime = 0.001105, haipara = 200306, score =   80012, sum =   1192876
num =  8, N = 39, Q = 197, D = 7, queryCount = 99207, nowTime = 0.029557, haipara = 200306, score = 2810245, sum =   4003121
num =  9, N = 55, Q = 885, D = 12, queryCount = 1129, nowTime = 0.001676, haipara = 1000610, score =   98925, sum =   4102046
num = 10, N = 65, Q = 1690, D = 10, queryCount = 4737, nowTime = 0.004945, haipara = 200226, score =   27119, sum =   4129165
num = 11, N = 59, Q = 340, D = 13, queryCount = 398, nowTime = 0.001609, haipara = 200256, score =  579764, sum =   4708929
num = 12, N = 77, Q = 1193, D = 13, queryCount = 2527186, nowTime = 1.30017, haipara = 1077999, score =   92988, sum =   4801917
num = 13, N = 52, Q = 954, D = 13, queryCount = 3166631, nowTime = 1.30023, haipara = 1000610, score =   58011, sum =   4859928
num = 14, N = 50, Q = 568, D = 11, queryCount = 2994, nowTime = 0.002198, haipara = 1079919, score =  574240, sum =   5434168
num = 15, N = 44, Q = 270, D = 11, queryCount = 307, nowTime = 0.000871, haipara = 1097020, score =  332622, sum =   5766790
num = 16, N = 45, Q = 221, D = 4, queryCount = 231, nowTime = 0.00071, haipara = 200306, score =   33251, sum =   5800041
num = 17, N = 43, Q = 97, D = 6, queryCount = 97, nowTime = 0.000534, haipara = 200316, score = 1215756, sum =   7015797
num = 18, N = 68, Q = 1028, D = 9, queryCount = 2312926, nowTime = 1.30015, haipara = 1000610, score =   24938, sum =   7040735
num = 19, N = 82, Q = 1182, D = 10, queryCount = 1473, nowTime = 0.002795, haipara = 1078729, score =   13702, sum =   7054437
num = 20, N = 96, Q = 2071, D = 20, queryCount = 2308153, nowTime = 1.30073, haipara = 1000610, score =   40809, sum =   7095246
num = 21, N = 89, Q = 2707, D = 17, queryCount = 9292, nowTime = 0.011246, haipara = 200266, score =   52980, sum =   7148226
num = 22, N = 40, Q = 378, D = 2, queryCount = 2571, nowTime = 0.002888, haipara = 200226, score =    1151, sum =   7149377
num = 23, N = 59, Q = 1069, D = 6, queryCount = 2350, nowTime = 0.002565, haipara = 200226, score =   16643, sum =   7166020
num = 24, N = 91, Q = 1079, D = 12, queryCount = 1191, nowTime = 0.002656, haipara = 1099740, score = 1795771, sum =   8961791
num = 25, N = 99, Q = 999, D = 23, queryCount = 1111, nowTime = 0.002854, haipara = 200256, score =  836015, sum =   9797806
Assert Method226 : N = 96, Q = 1344, setCount = 2051, time = 1.30027
num = 26, N = 96, Q = 1344, D = 2, queryCount = 1112707, nowTime = 1.30052, haipara = 200226, score =    3451, sum =   9801257
num = 27, N = 43, Q = 395, D = 8, queryCount = 1991, nowTime = 0.001649, haipara = 1079919, score =   91782, sum =   9893039
