num = 49, N = 93, Q = 476, D = 12, queryCount = 545, nowTime = 0.001746, haipara = 200316, score =  121636, sum =  29871396
num = 50, N = 66, Q = 1200, D = 4, queryCount = 3541, nowTime = 0.00471, haipara = 200226, score =    3026, sum =  29874422
num = 51, N = 36, Q = 428, D = 6, queryCount = 508, nowTime = 0.001601, haipara = 1000610, score =   40353, sum =  29914775
num = 52, N = 46, Q = 145, D = 6, queryCount = 155, nowTime = 0.000871, haipara = 200916, score =  428524, sum =  30343299
num = 53, N = 61, Q = 162, D = 5, queryCount = 162, nowTime = 0.001048, haipara = 200306, score =  166561, sum =  30509860
num = 54, N = 54, Q = 435, D = 9, queryCount = 488, nowTime = 0.001135, haipara = 200256, score =   69332, sum =  30579192
num = 55, N = 39, Q = 331, D = 6, queryCount = 1856, nowTime = 0.001452, haipara = 200256, score =   39773, sum =  30618965
num = 56, N = 92, Q = 1757, D = 12, queryCount = 2208995, nowTime = 1.30039, haipara = 1000610, score =   30684, sum =  30649649
num = 57, N = 96, Q = 200, D = 3, queryCount = 99139, nowTime = 0.064169, haipara = 200306, score =   41601, sum =  30691250
num = 58, N = 49, Q = 1467, D = 8, queryCount = 4822, nowTime = 0.004081, haipara = 200226, score =   29036, sum =  30720286
num = 59, N = 34, Q = 107, D = 8, queryCount = 121, nowTime = 0.001016, haipara = 200916, score = 2713991, sum =  33434277
num = 60, N = 57, Q = 396, D = 6, queryCount = 629, nowTime = 0.001036, haipara = 200306, score =  117019, sum =  33551296
num = 61, N = 69, Q = 342, D = 10, queryCount = 369, nowTime = 0.000989, haipara = 200316, score =  331319, sum =  33882615
num = 62, N = 36, Q = 185, D = 5, queryCount = 188, nowTime = 0.00063, haipara = 200306, score =  187381, sum =  34069996
num = 63, N = 96, Q = 933, D = 12, queryCount = 1029, nowTime = 0.00244, haipara = 200256, score =   23818, sum =  34093814
num = 64, N = 86, Q = 1312, D = 3, queryCount = 2266, nowTime = 0.003967, haipara = 200226, score =    2156, sum =  34095970
num = 65, N = 52, Q = 235, D = 5, queryCount = 99145, nowTime = 0.034254, haipara = 200306, score =   69767, sum =  34165737
num = 66, N = 80, Q = 482, D = 9, queryCount = 1577, nowTime = 0.002217, haipara = 200306, score = 6666458, sum =  40832195
num = 67, N = 70, Q = 2101, D = 11, queryCount = 5692, nowTime = 0.006077, haipara = 200226, score =   55667, sum =  40887862
num = 68, N = 37, Q = 194, D = 2, queryCount = 1140, nowTime = 0.001658, haipara = 200256, score =    7851, sum =  40895713
num = 69, N = 45, Q = 1001, D = 8, queryCount = 3604, nowTime = 0.003002, haipara = 200226, score =  150749, sum =  41046462
num = 70, N = 49, Q = 235, D = 6, queryCount = 634, nowTime = 0.001431, haipara = 200306, score =  183133, sum =  41229595
num = 71, N = 54, Q = 1483, D = 3, queryCount = 10110, nowTime = 0.008642, haipara = 200226, score =   13781, sum =  41243376
num = 72, N = 62, Q = 318, D = 13, queryCount = 331, nowTime = 0.001351, haipara = 200916, score =  449554, sum =  41692930
num = 73, N = 100, Q = 612, D = 5, queryCount = 1129, nowTime = 0.002266, haipara = 200806, score =   10119, sum =  41703049
num = 74, N = 38, Q = 214, D = 7, queryCount = 99179, nowTime = 0.030043, haipara = 200306, score =  358996, sum =  42062045
num = 75, N = 42, Q = 279, D = 2, queryCount = 785, nowTime = 0.001072, haipara = 200226, score =   15101, sum =  42077146
num = 76, N = 32, Q = 117, D = 7, queryCount = 121, nowTime = 0.000555, haipara = 200916, score = 4332088, sum =  46409234
num = 77, N = 99, Q = 2574, D = 22, queryCount = 9133, nowTime = 0.008794, haipara = 200266, score =   38151, sum =  46447385
num = 78, N = 49, Q = 168, D = 8, queryCount = 181, nowTime = 0.001115, haipara = 200916, score = 2443256, sum =  48890641
num = 79, N = 51, Q = 1344, D = 4, queryCount = 10667, nowTime = 0.007987, haipara = 200226, score =    9776, sum =  48900417
num = 80, N = 83, Q = 485, D = 4, queryCount = 15835, nowTime = 0.011022, haipara = 200806, score =   17309, sum =  48917726
num = 81, N = 86, Q = 1620, D = 18, queryCount = 4439, nowTime = 0.004296, haipara = 1079067, score =   53456, sum =  48971182
num = 82, N = 47, Q = 253, D = 7, queryCount = 1265, nowTime = 0.001521, haipara = 200306, score =  201712, sum =  49172894
num = 83, N = 71, Q = 292, D = 5, queryCount = 307, nowTime = 0.00103, haipara = 200306, score =   80324, sum =  49253218
