num =  0, N = 31, Q = 128, D = 2, queryCount = 2456, nowTime = 0.001638, haipara = 200306, score =  195851, sum =    195851
num =  1, N = 56, Q = 1120, D = 6, queryCount = 3778, nowTime = 0.00407, haipara = 200226, score =   29591, sum =    225442
num =  2, N = 94, Q = 2009, D = 5, queryCount = 4202, nowTime = 0.007313, haipara = 200226, score =    2979, sum =    228421
num =  3, N = 80, Q = 2288, D = 6, queryCount = 6917, nowTime = 0.008793, haipara = 200226, score =    6582, sum =    235003
num =  4, N = 43, Q = 435, D = 9, queryCount = 458, nowTime = 0.001698, haipara = 1079919, score =  168521, sum =    403524
num =  5, N = 42, Q = 202, D = 10, queryCount = 217, nowTime = 0.000744, haipara = 200916, score =  706639, sum =   1110163
num =  6, N = 65, Q = 346, D = 2, queryCount = 1101, nowTime = 0.001557, haipara = 200256, score =   11601, sum =   1121764
num =  7, N = 79, Q = 294, D = 5, queryCount = 1149, nowTime = 0.001716, haipara = 200306, score =  111762, sum =   1233526
num =  8, N = 39, Q = 197, D = 7, queryCount = 200, nowTime = 0.000668, haipara = 200306, score = 2810245, sum =   4043771
num =  9, N = 55, Q = 885, D = 12, queryCount = 2674587, nowTime = 1.30017, haipara = 1000610, score =  107815, sum =   4151586
num = 10, N = 65, Q = 1690, D = 10, queryCount = 3743, nowTime = 0.004588, haipara = 200226, score =   50636, sum =   4202222
num = 11, N = 59, Q = 340, D = 13, queryCount = 399, nowTime = 0.001471, haipara = 200256, score =  579877, sum =   4782099
num = 12, N = 77, Q = 1193, D = 13, queryCount = 2523935, nowTime = 1.30031, haipara = 1077999, score =   73234, sum =   4855333
num = 13, N = 52, Q = 954, D = 13, queryCount = 2966956, nowTime = 1.3003, haipara = 1000610, score =   67012, sum =   4922345
num = 14, N = 50, Q = 568, D = 11, queryCount = 4757600, nowTime = 1.3015, haipara = 1079919, score =  573732, sum =   5496077
num = 15, N = 44, Q = 270, D = 11, queryCount = 311, nowTime = 0.000858, haipara = 1097020, score =  337329, sum =   5833406
num = 16, N = 45, Q = 221, D = 4, queryCount = 99140, nowTime = 0.036799, haipara = 200306, score =   55214, sum =   5888620
num = 17, N = 43, Q = 97, D = 6, queryCount = 97, nowTime = 0.000556, haipara = 200316, score = 1215756, sum =   7104376
num = 18, N = 68, Q = 1028, D = 9, queryCount = 1430, nowTime = 0.002187, haipara = 1000610, score =   49884, sum =   7154260
num = 19, N = 82, Q = 1182, D = 10, queryCount = 1401, nowTime = 0.002557, haipara = 1078729, score =   17307, sum =   7171567
num = 20, N = 96, Q = 2071, D = 20, queryCount = 2312561, nowTime = 1.30059, haipara = 1000610, score =   46960, sum =   7218527
num = 21, N = 89, Q = 2707, D = 17, queryCount = 8968, nowTime = 0.010956, haipara = 200266, score =   29253, sum =   7247780
num = 22, N = 40, Q = 378, D = 2, queryCount = 1948, nowTime = 0.002571, haipara = 200226, score =    1051, sum =   7248831
num = 23, N = 59, Q = 1069, D = 6, queryCount = 2411, nowTime = 0.002758, haipara = 200226, score =   25053, sum =   7273884
num = 24, N = 91, Q = 1079, D = 12, queryCount = 1161, nowTime = 0.002594, haipara = 1099740, score = 1698147, sum =   8972031
