num =  0, N = 31, Q = 128, D = 2, queryCount = 2456, nowTime = 0.001478, haipara = 200306, score =  195851, sum =    195851
num =  1, N = 56, Q = 1120, D = 6, queryCount = 3778, nowTime = 0.003875, haipara = 200226, score =   29591, sum =    225442
num =  2, N = 94, Q = 2009, D = 5, queryCount = 4202, nowTime = 0.006458, haipara = 200226, score =    2979, sum =    228421
num =  3, N = 80, Q = 2288, D = 6, queryCount = 6917, nowTime = 0.00816, haipara = 200226, score =    6582, sum =    235003
num =  4, N = 43, Q = 435, D = 9, queryCount = 458, nowTime = 0.001867, haipara = 1079919, score =  168521, sum =    403524
num =  5, N = 42, Q = 202, D = 10, queryCount = 217, nowTime = 0.000681, haipara = 200916, score =  706639, sum =   1110163
num =  6, N = 65, Q = 346, D = 2, queryCount = 1486, nowTime = 0.001852, haipara = 200256, score =   10301, sum =   1120464
num =  7, N = 79, Q = 294, D = 5, queryCount = 307, nowTime = 0.001077, haipara = 200306, score =  106548, sum =   1227012
num =  8, N = 39, Q = 197, D = 7, queryCount = 198, nowTime = 0.000768, haipara = 200306, score = 2810245, sum =   4037257
num =  9, N = 55, Q = 885, D = 12, queryCount = 2586523, nowTime = 1.30017, haipara = 1000610, score =   95494, sum =   4132751
num = 10, N = 65, Q = 1690, D = 10, queryCount = 5098, nowTime = 0.005066, haipara = 200226, score =    8838, sum =   4141589
num = 11, N = 59, Q = 340, D = 13, queryCount = 401, nowTime = 0.001979, haipara = 200256, score =  579877, sum =   4721466
num = 12, N = 77, Q = 1193, D = 13, queryCount = 2474084, nowTime = 1.30025, haipara = 1077999, score =   77992, sum =   4799458
num = 13, N = 52, Q = 954, D = 13, queryCount = 2800552, nowTime = 1.30032, haipara = 1000610, score =   67012, sum =   4866470
num = 14, N = 50, Q = 568, D = 11, queryCount = 4051739, nowTime = 1.37699, haipara = 1079919, score =  573772, sum =   5440242
num = 15, N = 44, Q = 270, D = 11, queryCount = 307, nowTime = 0.000823, haipara = 1097020, score =  332622, sum =   5772864
num = 16, N = 45, Q = 221, D = 4, queryCount = 242, nowTime = 0.000812, haipara = 200306, score =   33251, sum =   5806115
num = 17, N = 43, Q = 97, D = 6, queryCount = 97, nowTime = 0.000598, haipara = 200316, score = 1215756, sum =   7021871
