case,K,T,D,score
248,18,16123,890,1372216
249,6,5581,20,724869
250,11,9855,935,1542837
251,8,53742,149,654866
252,14,9624,30,204243
253,20,17463,2003,1810476
254,20,5616,14,441972
255,15,58434,27,167359
256,20,6829,5957,1643502
257,19,5323,5179,2646364
258,8,34380,166,722815
259,7,48690,146,657084
260,8,18900,6201,3066560
261,20,11898,108,390534
262,15,14353,27,163730
263,4,6533,4896,2700431
264,19,6987,258,706641
265,10,12789,345,1053269
266,14,59773,94,398487
267,7,7339,9196,2444312
268,7,8840,203,797600
269,14,5683,217,684790
270,6,15134,4554,2294542
271,12,8747,217,766982
272,13,7639,17,176752
273,16,5097,90,738232
274,20,26549,8732,2129505
275,11,34191,33,240278
276,4,12179,8942,2662303
277,4,15937,12,251482
278,8,16115,1402,2390509
279,19,28777,3668,2941911
280,8,9008,17,226805
281,15,56432,449,1017522
282,13,61258,5467,1374018
283,8,4756,628,1260943
284,7,20874,3190,2506361
285,19,15077,3777,1865604
286,13,38821,88,391264
287,15,28155,1218,1888905
288,9,22883,934,1406133
289,20,4003,31,518779
290,11,14361,8434,3082221
291,5,28920,13,240084
292,6,9248,46,417475
293,16,54687,10,91717
294,11,46369,2368,2489297
295,16,9608,125,470305
296,18,4630,1112,1547785
297,4,10503,169,687967
298,19,6714,133,460875
299,13,14234,294,817468
300,18,4179,903,1490140
301,19,26624,7720,2828923
302,5,5093,9465,2397788
303,11,61535,5160,2247669
304,13,8923,14,216089
305,18,51744,5056,1519415
306,11,37676,552,1304751
307,16,7158,9235,1387724
308,4,8413,1300,2377889
309,6,10077,59,453057
310,8,10543,15,248483
311,12,43430,357,994441
312,12,9567,1876,2142294
313,11,14306,478,1083044
314,12,4298,261,996972
315,6,54399,18,247657
316,11,5022,2920,2225692
317,6,24179,80,583250
318,12,26303,1910,2538389
319,20,4008,58,502263
320,17,26172,1695,1751302
321,12,5506,6244,1445179
322,14,6291,1492,1812063
323,14,17519,205,677456
324,15,24097,468,1029996
325,7,20666,53,363471
326,17,12521,1961,2354642
327,14,4057,5338,2183587
328,12,13204,6498,2599607
329,7,12432,69,439020
330,4,19672,182,1045608
331,5,7847,1769,2811782
332,10,21214,28,211585
333,4,19691,1251,2292997
334,8,7525,126,610786
335,16,17984,32,175926
336,17,19886,76,321792
337,5,11509,952,1664143
338,18,56962,417,897616
339,4,30468,22,321634
340,13,6105,109,485053
341,6,9182,79,518254
342,4,5639,37,809078
343,7,40389,23,235672
344,17,13666,76,327486
345,7,12917,11,201151
346,4,11858,38,380521
347,14,22608,6252,2698376
348,20,6749,20,234469
349,19,4970,103,623342
350,7,36924,193,717706
351,15,32067,534,1107172
352,20,19204,177,531437
353,19,8601,27,184172
354,10,25933,91,484028
355,11,6966,218,715870
356,7,10839,1166,1590602
357,14,5073,11,562692
358,15,27049,50,264996
359,5,18606,15,251840
360,14,31409,50,269087
361,6,13069,100,613256
362,17,6834,942,1503990
363,11,10337,3856,3284650
364,9,13245,6979,2319565
365,17,13433,24,148128
366,7,13672,49,381409
367,9,40298,143,588511
368,8,56585,2171,1542815
369,20,6312,2950,1400483
370,11,56231,422,1049028
371,5,22488,2429,1231007
372,4,32530,27,262323
373,19,4069,74,682626
374,16,54881,5386,1713763
375,8,58697,12,163407
376,20,37418,192,540378
377,17,26471,92,367105
378,15,8807,15,192943
379,6,37677,3469,1595280
