  0,  4, 60887, 3822,  519343,  317226,  202116, 0.0811940,  33, 0.3953162,
  1,  9, 23052,   13,  151756,   74477,   77278, 0.0228023,   2, 2.2741890,
  2,  5,  9827, 1392,  529211,  130848,  398362, 0.1265488,  33, 0.4126332,
  3, 14,  4349,   14,  131481,    4144,  127336, 0.0558509,  34, 0.6475470,
  4, 13, 25343,  465,  283704,  109740,  173963, 0.0651949,  33, 0.9505756,
  5, 14, 63725, 2746,  471427,   43936,  427490, 0.0896152,  32, 0.5592115,
  6,  4, 16692,  275,  205825,   18150,  187674, 0.0749363,  33, 0.5636862,
  7,  4, 17611, 7148,  524841,   21444,  503396, 0.1438726,  32, 0.1989345,
  8,  6,  4797,  674,  417299,   97730,  319568, 0.1223153,  33, 0.6392765,
  9,  4,  4323,  216,  173991,   17496,  156494, 0.0634792,  33, 0.2807191,
 10,  9,  8914, 3754,  571804,   26278,  545525, 0.1466753,  32, 0.3308986,
 11, 20, 28008,   47,  139397,   14053,  125343, 0.0365109,  34, 2.1164327,
 12,  8,  7721,   17,  213613,    5066,  208546, 0.0774814,  34, 0.7725762,
 13,  7,  8239, 2825,  657304,  392675,  264628, 0.0855254,  33, 0.2685127,
 14, 15, 58777,  113,  163492,   33561,  129930, 0.0564177,  34, 2.0577594,
 15, 17, 29892,   31,  138490,    9207,  129282, 0.0453847,  34, 1.6907839,
 16, 13, 10453,  211,  217372,   63089,  154282, 0.0630058,  34, 1.1690747,
 17,  9,  7428, 5961,  650087,   89415,  560671, 0.1351439,  32, 0.3343284,
 18,  4, 27695,  591,  296491,   28959,  267531, 0.0964775,  33, 0.4896631,
 19, 19, 52006,   31,  126447,    9920,  116526, 0.0591958,  35, 2.0305460,
 20, 18,  8754,  973,  381376,  227682,  153693, 0.0544700,  33, 0.7411799,
 21,  8,  9327, 3484,  610882,   76648,  534233, 0.1359571,  32, 0.3549139,
 22,  5, 18520,  145,  281111,   45530,  235580, 0.1253169,  35, 1.4635141,
 23,  6,  5906,  162,  267961,   51192,  216768, 0.1372301,  35, 0.4656011,
 24, 13, 11754,   88,  169935,   26312,  143622, 0.0537152,  34, 1.6247235,
 25,  9, 56437,  108,  197258,   32184,  165073, 0.0560531,  34, 1.5782631,
 26, 15, 31152,   19,  124794,    5681,  119112, 0.0670446,  34, 1.9694719,
 27,  5, 21437, 4044,  639746,   12132,  627613, 0.1549450,  32, 0.2225629,
 28, 16,  6032,  368,  232152,   87216,  144935, 0.0698709,  33, 1.0428596,
 29, 16, 14852,   26,  137035,    7800,  129234, 0.0529762,  34, 2.0647806,
 30, 17, 16001, 3850,  502373,  111650,  390722, 0.0933275,  32, 0.7042226,
 31,  9, 19673, 1768,  428576,   21216,  407359, 0.1185036,  32, 0.4922479,
 32, 13,  6266,  536,  286409,  120600,  165808, 0.0464970,  33, 0.8002392,
 33, 14, 24354,   10,  113981,   45380,   68600, 0.0167642,   2, 2.2372229,
 34,  5, 20262,  871,  293135,  102778,  190356, 0.0729772,  33, 0.4920643,
 35,  4, 37391,   73,  146255,   22849,  123405, 0.1070282,  35, 2.0254191,
 36,  9,  4971, 5464,  609592,   60104,  549487, 0.1774850,  32, 0.3457572,
 37,  4,  8863,  685,  333327,   58910,  274416, 0.0990326,  33, 0.5644605,
 38,  5,  8509, 1422,  423394,  162108,  261285, 0.0896942,  33, 0.3636813,
 39, 13,  4582,  597,  299936,  140892,  159043, 0.0632307,  33, 0.7964415,
 40, 20,  4244, 6407,  494108,  185803,  308304, 0.0852235,  32, 0.7697033,
 41, 10,  4826,  789,  334788,  160956,  173831, 0.0583996,  33, 0.6637702,
 42, 18, 23398,   10,   84599,   45770,   38828, 0.0109230,   2, 2.2610036,
 43, 10, 27100,  232,  235771,   68672,  167098, 0.0665887,  34, 1.1792118,
 44, 11, 33224,   33,  175654,    9867,  165786, 0.0946751,  34, 2.0439454,
 45,  9, 37196, 2348,  530480,   25828,  504651, 0.1238003,  32, 0.4627785,
 46,  4, 34893, 2817,  381682,  185922,  195759, 0.1025222,  33, 0.3072290,
 47, 14, 14522, 4240,  496725,  127200,  369524, 0.1199909,  32, 0.5295129,
 48,  6, 56004,   89,  295071,   25899,  269171, 0.0875372,  34, 2.0342874,
 49,  8, 34514,   40,  161683,   11960,  149722, 0.0972571,  34, 2.0302971,
 50,  7,  6864,  646,  359196,   87210,  271985, 0.0900464,  33, 0.6785745,
 51, 10, 10464,  315,  212584,   65205,  147378, 0.0454869,  33, 0.9101365,
 52, 19, 10174,  291,  200538,   87009,  113528, 0.0581708,  34, 1.5895168,
 53, 11, 26998,  176,  186087,   52624,  133462, 0.0549427,  34, 1.2091929,
 54, 16,  5567,   16,  146162,    5120,  141041, 0.0773759,  35, 0.7657871,
 55, 18, 27450,   30,  126391,    8910,  117480, 0.0388057,  34, 1.9501998,
 56, 13, 10382,   18,  147969,    5364,  142604, 0.1038981,  34, 1.3741636,
 57,  5, 17939, 1717,  369438,  197455,  171982, 0.0709556,  33, 0.3807575,
 58, 20,  4644,   27,  119251,    8613,  110637, 0.0415147,  35, 0.9957346,
 59, 14,  5624,   14,  112814,    4186,  108627, 0.0451239,  34, 0.7166108,
 60, 16,  5520, 4453,  517964,   93513,  424450, 0.1167592,  32, 0.7039270,
 61, 12, 19528,   64,  178748,   19136,  159611, 0.0652394,  34, 2.1971424,
 62, 11, 35357, 3332,  540946,   66640,  474305, 0.1141319,  32, 0.5018886,
 63, 13, 10965, 3247,  504061,   71434,  432626, 0.0953599,  32, 0.5241655,
 64,  5, 11069, 2365,  432128,   14190,  417937, 0.1196060,  32, 0.3315765,
 65, 11,  5546, 2297,  549036,   29861,  519174, 0.1382168,  32, 0.5585934,
 66, 16,  8813,   24,  133770,    7656,  126113, 0.0598159,  35, 1.2290865,
 67, 12, 61574, 5404,  661596,  113484,  548111, 0.1342651,  32, 0.5832721,
 68,  4, 27990,  167,  140791,   14028,  126762, 0.0597102,  33, 1.0694475,
 69,  7,  4932,  726,  313953,  103092,  210860, 0.0683876,  33, 0.6346142,
 70, 12, 11649,  110,  174721,   32890,  141830, 0.0521676,  34, 2.1663393,
 71, 11, 18971,  115,  200642,   34270,  166371, 0.0591390,  34, 2.1193579,
 72, 10,  6017, 1631,  466160,   14679,  451480, 0.1081812,  32, 0.7313197,
 73, 17,  6102,  975,  387992,  228150,  159841, 0.0687962,  33, 1.3583956,
 74,  4, 53789, 2643,  539733,  195582,  344150, 0.1824461,  33, 0.5232991,
 75, 18, 21810, 1697,  390672,   28849,  361822, 0.0918330,  32, 1.1156961,
 76, 13, 10118,   10,  162634,   36520,  126113, 0.0316704,   2, 1.9223442,
 77,  4,  9480, 1868,  410169,  125156,  285012, 0.1006611,  33, 0.4304116,
 78, 13,  8178,   94,  189627,   28106,  161520, 0.0639421,  34, 2.1021074,
 79,  7, 18619,   18,  198383,    5310,  193072, 0.0627093,  34, 2.0357889,
 80, 18, 22724,  170,  164663,   50660,  114002, 0.0508444,  34, 1.4129422,
 81,  7, 43379,   93,  216129,   27621,  188507, 0.0588339,  34, 1.9381474,
 82, 15, 25351,  100,  176289,   29700,  146588, 0.0939411,  34, 2.0621137,
 83,  9, 17875,   26,  154645,    8320,  146324, 0.0724795,  35, 2.0777196,
 84, 12, 19928,  160,  187617,   47360,  140256, 0.0766501,  34, 1.2846587,
 85,  8, 43014,  140,  228970,   41860,  187109, 0.0666779,  34, 1.3316842,
