  8623,  15150,  20561,  25172,  29194,  32677,  35594,  37978,  39810,  40896,  31,  9, 19673, 1768,   65649,   24752,   40896, 0.0114537, 506, 5.5051646, 17216,
 31523,  55724,  76554,  95129, 111523, 126241, 139421, 150742, 159939, 165808,  32, 13,  6266,  536,  286409,  120600,  165808, 0.0464970,  33, 13.9057721,  2225,
  3079,   5186,   6968,   8497,   9801,  10932,  11896,  12694,  13328,  13699,  33, 14, 24354,   10,   14390,     690,   13699, 0.0131871, 506, 12.0940878, 19090,
  8161,  14255,  19394,  23734,  27480,  30672,  33303,  35468,  37139,  38110,  34,  5, 20262,  871,   64242,   26130,   38111, 0.0133859, 520, 5.5654541, 19514,
  3831,   6622,   9028,  11117,  12932,  14496,  15815,  16883,  17707,  18187,  35,  4, 37391,   73,   23737,    5548,   18188, 0.0083823, 520, 4.7630251, 19017,
113015, 199509, 271307, 333130, 387082, 433817, 473330, 506489, 533026, 549486,  36,  9,  4971, 5464,  609592,   60104,  549487, 0.1774850,  32, 7.0918467,  2011,
Error: add_turn_3 called after max_t reached.
 55366,  96037, 130962, 161578, 188804, 212819, 233989, 252031, 266011, 274415,  37,  4,  8863,  685,  333327,   58910,  274416, 0.0990326,  33, 18.7430501,  2086,
 49263,  86770, 119760, 149096, 175465, 199104, 220068, 237513, 252000, 261284,  38,  5,  8509, 1422,  423394,  162108,  261285, 0.0896942,  33, 17.6991778,  2114,
 32639,  56534,  76875,  94522, 110051, 123717, 135706, 145950, 154037, 159042,  39, 13,  4582,  597,  299936,  140892,  159043, 0.0632307,  33, 12.4435088,  2236,
Error: add_turn_3 called after max_t reached.
 59582, 106310, 146798, 182817, 214081, 241421, 264982, 284724, 299715, 308303,  40, 20,  4244, 6407,  494108,  185803,  308304, 0.0852235,  32, 6.6967482,  2029,
 33769,  59286,  81079, 100211, 117340, 132723, 146385, 158173, 167974, 173830,  41, 10,  4826,  789,  334788,  160956,  173831, 0.0583996,  33, 12.4601541,  2204,
  3772,   6052,   7968,   9635,  11118,  12417,  13513,  14388,  15040,  15438,  42, 18, 23398,   10,   15939,     500,   15438, 0.0319078, 506, 11.6344959, 19001,
  6580,  11158,  14864,  17975,  20653,  22974,  24970,  26617,  27883,  28662,  43, 10, 27100,  232,   54880,   26216,   28663, 0.0122086, 520, 8.5247798, 21772,
  2730,   4776,   6493,   7949,   9233,  10330,  11263,  12027,  12601,  12949,  44, 11, 33224,   33,   14798,    1848,   12949, 0.0042058, 520, 7.6985859, 22033,
  8957,  15558,  20854,  25341,  29131,  32316,  35021,  37239,  38938,  39923,  45,  9, 37196, 2348,   86885,   46960,   39924, 0.0127008, 520, 2.8769435, 19807,
 10352,  17850,  24049,  29282,  33747,  37462,  40482,  42901,  44741,  45818,  46,  4, 34893, 2817,   93709,   47889,   45819, 0.0158652, 520, 1.8604763, 17592,
 17978,  31905,  43910,  54397,  63470,  71378,  78159,  83792,  87938,  90181,  47, 14, 14522, 4240,  166502,   76320,   90181, 0.0265890, 504, 8.2520273, 14008,
  5366,   8947,  11938,  14503,  16720,  18641,  20272,  21648,  22684,  23275,  48,  6, 56004,   89,   38674,   15397,   23276, 0.0197815, 520, 8.4731663, 22644,
  3150,   5516,   7477,   9168,  10644,  11931,  12994,  13842,  14469,  14829,  49,  8, 34514,   40,   19390,    4560,   14829, 0.0064345, 520, 5.1832554, 21724,
 56913,  97555, 132404, 162450, 189205, 212587, 232681, 249722, 263378, 271984,  50,  7,  6864,  646,  359196,   87210,  271985, 0.0900464,  33, 13.1234652,  2135,
 27560,  49049,  67599,  84103,  98682, 111714, 123277, 133448, 141768, 147378,  51, 10, 10464,  315,  212584,   65205,  147378, 0.0454869,  33, 20.3824602,  2207,
Error: add_turn_3 called after max_t reached.
 22061,  38125,  52139,  64606,  75879,  85902,  94883, 102718, 109200, 113528,  52, 19, 10174,  291,  200538,   87009,  113528, 0.0581708,  34, 22.6673625,  2299,
  6437,  10983,  14821,  18121,  20909,  23312,  25281,  26880,  28106,  28865,  53, 11, 26998,  176,   49987,   21120,   28866, 0.0094931, 520, 7.6237684, 21368,
 14342,  25839,  35942,  45075,  53366,  60898,  67625,  73369,  77982,  80932,  54, 16,  5567,   16,  101542,   20608,   80933, 0.0212111,  45, 8.5278348,  4266,
  2519,   4410,   5970,   7297,   8445,   9452,  10307,  11009,  11568,  11899,  55, 18, 27450,   30,   12830,     930,   11899, 0.0034294, 520, 11.1506759, 22113,
 15440,  28060,  39015,  48799,  57614,  65570,  72599,  78723,  83802,  86975,  56, 13, 10382,   18,  107064,   20088,   86975, 0.0214092,  45, 17.3740340,  3921,
  9373,  16903,  23311,  28830,  33589,  37691,  41152,  43940,  46098,  47333,  57,  5, 17939, 1717,   83392,   36057,   47334, 0.0137016, 506, 5.6843735, 16906,
 13324,  24191,  33878,  42619,  50355,  57249,  63207,  68164,  72094,  74544,  58, 20,  4644,   27,   96227,   21681,   74545, 0.0171680,  45, 11.0291406,  3287,
 11424,  20648,  28890,  36328,  43070,  49119,  54434,  59038,  62679,  64981,  59, 14,  5624,   14,   79584,   14602,   64981, 0.0182522,  45, 10.5708716,  3773,
Error: add_turn_3 called after max_t reached.
 79777, 144922, 201106, 250370, 293078, 330106, 362405, 389487, 410722, 424450,  60, 16,  5520, 4453,  517964,   93513,  424450, 0.1167592,  32, 10.3116826,  2021,
  4077,   7156,   9764,  12037,  14033,  15752,  17222,  18409,  19311,  19870,  61, 12, 19528,   64,   26528,    6656,   19871, 0.0097263, 506, 12.6090888, 18659,
  9433,  16101,  21746,  26492,  30444,  33732,  36478,  38725,  40415,  41413,  62, 11, 35357, 3332,   94727,   53312,   41414, 0.0156994, 520, 2.9094681, 19691,
Error: add_turn_3 called after max_t reached.
 75203, 138560, 194528, 244849, 289878, 329236, 364114, 394178, 418075, 432626,  63, 13, 10965, 3247,  504061,   71434,  432626, 0.0953599,  32, 17.9965012,  2022,
 82492, 145523, 198555, 245137, 286859, 324262, 356317, 382964, 404448, 417936,  64,  5, 11069, 2365,  432128,   14190,  417937, 0.1196060,  32, 14.6385893,  2006,
 92674, 168710, 235754, 295309, 348616, 396341, 437455, 472840, 501536, 519173,  65, 11,  5546, 2297,  549036,   29861,  519174, 0.1382168,  32, 9.6359357,  2013,
 14582,  26645,  37422,  47112,  55834,  63587,  70492,  76513,  81409,  84572,  66, 16,  8813,   24,  106893,   22320,   84572, 0.0211802,  45, 13.0900536,  3547,
 10047,  16796,  22206,  26743,  30519,  33704,  36361,  38527,  40222,  41220,  67, 12, 61574, 5404,  116878,   75656,   41221, 0.0179127, 520, 2.3209023, 20155,
  3765,   6560,   8902,  10892,  12640,  14172,  15468,  16512,  17330,  17863,  68,  4, 27990,  167,   22207,    4342,   17864, 0.0064756, 520, 3.7900697, 17828,
 40711,  72213,  99266, 122976, 143955, 162441, 178639, 192527, 203777, 210860,  69,  7,  4932,  726,  313953,  103092,  210860, 0.0683876,  33, 11.4005556,  2142,
 23780,  42508,  58824,  73323,  86492,  98350, 108716, 117644, 124994, 129543,  70, 12, 11649,  110,  167824,   38280,  129543, 0.0359576,  44, 22.1127939,  2402,
Error: add_turn_3 called after max_t reached.
Error: add_turn_3 called after max_t reached.
 28411,  50847,  70283,  87667, 103164, 116892, 129235, 140119, 148984, 154524,  71, 11, 18971,  115,  195466,   40940,  154525, 0.0447663,  44, 37.1291730,  2417,
 78116, 143151, 200783, 252420, 298355, 339846, 376865, 409102, 435491, 451479,  72, 10,  6017, 1631,  466160,   14679,  451480, 0.1081812,  32, 10.9148673,  2009,
 31829,  54635,  74138,  91577, 107121, 121372, 134103, 145102, 153997, 159841,  73, 17,  6102,  975,  387992,  228150,  159841, 0.0687962,  33, 16.3970449,  2234,
 11264,  19849,  27002,  33155,  38419,  42868,  46550,  49626,  52003,  53294,  74,  4, 53789, 2643,  145801,   92505,   53295, 0.0145366, 520, 3.1565610, 18781,
  7706,  13407,  18110,  22166,  25608,  28518,  31000,  33041,  34587,  35518,  75, 18, 21810, 1697,   81338,   45819,   35518, 0.0113623, 520, 6.4948528, 20263,
 17007,  30630,  42666,  53423,  63072,  71821,  79635,  86374,  91713,  94939,  76, 13, 10118,   10,  108621,   13680,   94940, 0.0289430,  45, 17.2652789,  4432,
 55689,  96995, 132515, 164067, 192523, 217891, 240393, 259433, 274811, 285011,  77,  4,  9480, 1868,  410169,  125156,  285012, 0.1006611,  33, 16.5109593,  2067,
 25468,  45613,  63396,  79397,  93926, 106930, 118590, 128533, 136515, 141294,  78, 13,  8178,   94,  179177,   37882,  141294, 0.0353692,  44, 19.6603160,  2507,
  6109,   9350,  12154,  14584,  16685,  18517,  20041,  21242,  22138,  22634,  79,  7, 18619,   18,   25317,    2682,   22634, 0.0724706, 505, 15.8101572, 18255,
  5187,   8946,  12000,  14593,  16812,  18716,  20294,  21580,  22560,  23162,  80, 18, 22724,  170,   41014,   17850,   23163, 0.0084456, 520, 8.5542348, 21819,
  5020,   8580,  11522,  14020,  16188,  18027,  19559,  20844,  21816,  22424,  81,  7, 43379,   93,   36655,   14229,   22425, 0.0116467, 520, 8.2904493, 22180,
  4360,   7540,  10160,  12398,  14370,  16090,  17562,  18773,  19723,  20325,  82, 15, 25351,  100,   33426,   13100,   20325, 0.0079073, 520, 7.2949260, 22406,
  4544,   7355,   9804,  11924,  13789,  15413,  16818,  17996,  18888,  19388,  83,  9, 17875,   26,   22458,    3068,   19389, 0.0702124, 505, 11.8082515, 17462,
  6255,  10694,  14345,  17454,  20148,  22482,  24450,  26101,  27372,  28102,  84, 12, 19928,  160,   44263,   16160,   28102, 0.0100798, 506, 11.2405131, 19278,
  4964,   8506,  11376,  13928,  16175,  18135,  19821,  21246,  22339,  22954,  85,  8, 43014,  140,   40596,   17640,   22955, 0.0081945, 520, 6.2693444, 21857,
 85376, 148690, 202798, 251362, 294463, 332533, 365479, 393583, 416957, 431460,  86,  4,  5759, 3537,  466831,   35370,  431460, 0.1320025,  32, 5.0999145,  2010,
  8658,  15027,  20282,  24710,  28353,  31382,  33907,  35962,  37523,  38453,  87, 10, 43043, 1805,   76360,   37905,   38454, 0.0147886, 520, 3.2576661, 20104,
 26382,  47051,  65240,  81782,  96896, 110431, 122334, 132634, 141336, 146734,  88, 12,  6525,  107,  184720,   37985,  146734, 0.0429447,  44, 13.5674878,  2413,
Error: add_turn_3 called after max_t reached.
 17361,  30853,  42693,  53040,  62238,  70365,  77440,  83427,  88240,  91468,  89, 16,  6450,   47,  117602,   26132,   91469, 0.0352776,  45, 9.9297242,  2793,
 54944,  96363, 131578, 162323, 189148, 213052, 234488, 253004, 267683, 276811,  90,  7,  5048, 1286,  468426,  191614,  276811, 0.0924967,  33, 8.1910635,  2149,
  4238,   7258,   9741,  11867,  13721,  15322,  16710,  17859,  18759,  19343,  91, 12, 21888,   94,   30249,   10904,   19344, 0.0065430, 520, 9.7911049, 21808,
  2420,   4183,   5690,   6990,   8096,   9044,   9858,  10519,  11031,  11313,  92, 19, 29145,   26,   12120,     806,   11313, 0.0034242, 520, 14.1282655, 22172,
 29212,  52693,  73544,  92283, 109223, 124343, 137768, 149489, 159454, 166277,  93, 16, 12169, 1188,  444270,  277992,  166277, 0.0428189,  33, 24.5469870,  2234,
 51174,  89516, 122780, 152276, 178540, 201480, 221433, 238883, 253608, 263519,  94,  4,  5549,   60,  309301,   45780,  263520, 0.1055905,  45, 10.5869261,  3282,
