  0,  4, 60887, 3822, 2309565,    3822, 2305742, 0.3991486, 0.2903918,
  1,  9, 23052,   13,  145889,   81640,   64248, 0.0154956, 2.3720457,
  2,  5,  9827, 1392, 2537212,  811536, 1725675, 0.3622742, 0.3222948,
  3, 14,  4349,   14,  615886,   12978,  602907, 0.1155319, 0.2632125,
  4, 13, 25343,  465, 1063295,  579855,  483439, 0.1410089, 0.5777342,
  5, 14, 63725, 2746, 1987712,       0, 1987711, 0.2803695, 0.1723510,
  6,  4, 16692,  275,  838125,  362450,  475674, 0.1158293, 0.5024417,
  7,  4, 17611, 7148, 1624455,       0, 1624454, 0.3038499, 0.1509284,
  8,  6,  4797,  674, 1793040,  895072,  897967, 0.2366339, 0.5261569,
  9,  4,  4323,  216,  823090,  132624,  690465, 0.1426858, 0.2390367,
 10,  9,  8914, 3754, 1534236,       0, 1534235, 0.3177496, 0.1431128,
 11, 20, 28008,   47,  229092,  156322,   72769, 0.0217574, 2.0796806,
 12,  8,  7721,   17,  401869,   45917,  355951, 0.0971974, 0.6440646,
 13,  7,  8239, 2825, 1897335,       0, 1897334, 0.3423992, 0.1497756,
 14, 15, 58777,  113,  438966,  275155,  163810, 0.0436392, 1.9946115,
 15, 17, 29892,   31,  181261,  120776,   60484, 0.0167221, 1.2361061,
 16, 13, 10453,  211,  710783,  426431,  284351, 0.0686420, 0.9086287,
 17,  9,  7428, 5961, 2661675,       0, 2661674, 0.4078080, 0.1384385,
 18,  4, 27695,  591, 1439333,  530127,  909205, 0.2057377, 0.4439704,
 19, 19, 52006,   31,  166771,  114452,   52318, 0.0171511, 1.5742102,
 20, 18,  8754,  973, 1384014,  537096,  846917, 0.2145783, 0.2534719,
 21,  8,  9327, 3484, 2632179,    3484, 2628694, 0.3979755, 0.1794550,
 22,  5, 18520,  145,  822190,  409480,  412709, 0.1130157, 1.3583030,
 23,  6,  5906,  162,  931468,  261792,  669675, 0.1596111, 0.4104084,
 24, 13, 11754,   88,  398871,  253000,  145870, 0.0503192, 1.3339397,
 25,  9, 56437,  108,  512331,  310716,  201614, 0.0551091, 1.3889705,
 26, 15, 31152,   19,  129574,   87115,   42458, 0.0128908, 1.8523872,
 27,  5, 21437, 4044, 2281094,       0, 2281093, 0.3548183, 0.1511148,
 28, 16,  6032,  368,  756167,  321264,  434902, 0.0998673, 0.6224011,
 29, 16, 14852,   26,  163057,  111488,   51568, 0.0179071, 2.3741394,
 30, 17, 16001, 3850, 2179899,       0, 2179898, 0.3382563, 0.1617833,
